[2025-03-30 17:27:00,659: INFO: main : Logger is initialized]
[2025-03-30 19:05:17,655: INFO: push_data : Converted file to JSON]
[2025-03-30 19:07:29,824: INFO: push_data : Converted file to JSON]
[2025-03-30 19:14:30,155: INFO: push_data : Converted file to JSON]
[2025-03-30 19:15:47,245: INFO: push_data : Converted file to JSON]
[2025-03-30 19:15:56,175: INFO: push_data : Records inserted in database]
[2025-03-30 20:19:49,099: INFO: main : Logger is initialized]
[2025-03-30 20:20:41,342: INFO: main : Logger is initialized]
[2025-03-30 20:20:41,343: INFO: common : Yaml File: config/config.yaml loaded successfully]
[2025-03-30 20:35:03,204: INFO: common : Yaml File: config/config.yaml loaded successfully]
[2025-03-30 20:35:03,205: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-30 20:35:03,206: INFO: common : Yaml File: schema.yaml loaded successfully]
[2025-03-30 20:35:28,794: INFO: common : Yaml File: config/config.yaml loaded successfully]
[2025-03-30 20:35:28,795: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-30 20:35:28,795: INFO: common : Yaml File: schema.yaml loaded successfully]
[2025-03-30 20:35:28,796: INFO: common : created directory at: artifacts]
[2025-03-30 20:35:28,796: INFO: common : created directory at: artifacts/data_ingestion]
[2025-03-30 20:35:31,522: INFO: common : Yaml File: config/config.yaml loaded successfully]
[2025-03-30 20:35:31,523: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-30 20:35:31,524: INFO: common : Yaml File: schema.yaml loaded successfully]
[2025-03-30 20:35:31,524: INFO: common : created directory at: artifacts]
[2025-03-30 20:35:31,525: INFO: common : created directory at: artifacts/data_ingestion]
[2025-03-30 20:35:47,510: INFO: common : Yaml File: config/config.yaml loaded successfully]
[2025-03-30 20:35:47,511: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-30 20:35:47,512: INFO: common : Yaml File: schema.yaml loaded successfully]
[2025-03-30 20:35:47,512: INFO: common : created directory at: artifacts]
[2025-03-30 20:35:47,512: INFO: common : created directory at: artifacts/data_ingestion]
[2025-03-30 20:35:56,901: INFO: common : Yaml File: config/config.yaml loaded successfully]
[2025-03-30 20:35:56,903: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-30 20:35:56,904: INFO: common : Yaml File: schema.yaml loaded successfully]
[2025-03-30 20:35:56,905: INFO: common : created directory at: artifacts]
[2025-03-30 20:35:56,905: INFO: common : created directory at: artifacts/data_ingestion]
[2025-03-30 20:44:58,114: INFO: common : Yaml File: config/config.yaml loaded successfully]
[2025-03-30 20:44:58,115: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-30 20:44:58,115: INFO: common : Yaml File: schema.yaml loaded successfully]
[2025-03-30 20:44:58,116: INFO: common : created directory at: artifacts]
[2025-03-30 20:44:58,116: INFO: common : created directory at: artifacts/data_ingestion]
[2025-03-30 20:45:27,113: INFO: 3077071786 : Fetching data from MongoDB collection: NetworkData]
[2025-03-30 20:45:30,374: INFO: 3077071786 : ✅ Data successfully downloaded and saved to Artifacts/data.csv]
[2025-03-30 20:47:06,491: INFO: common : Yaml File: config/config.yaml loaded successfully]
[2025-03-30 20:47:06,492: INFO: common : Yaml File: params.yaml loaded successfully]
[2025-03-30 20:47:06,493: INFO: common : Yaml File: schema.yaml loaded successfully]
